candidate,task,rank,feature,importance,capacity_feature_importance_fraction
queue_shadow,delay,25,ccrth_dest_departure_demand_120m_log1p,0.014694694603954521,0.06701060904532939
queue_shadow,delay,26,ccrth_origin_departure_demand_60m_log1p,0.013377123323453316,0.06701060904532939
queue_shadow,delay,27,ccrth_dest_ils_end_fraction,0.012487475931623129,0.06701060904532939
queue_shadow,delay,28,ccrth_dest_expected_slack,0.0,0.06701060904532939
queue_shadow,delay,29,ccrth_dest_overload_probability,0.0,0.06701060904532939
queue_shadow,delay,30,ccrth_dest_movement_utilization,0.0,0.06701060904532939
queue_shadow,delay,31,ccrth_dest_direction_utilization,0.0,0.06701060904532939
queue_shadow,delay,32,ccrth_dest_expected_movement_capacity,0.0,0.06701060904532939
queue_shadow,delay,33,ccrth_dest_expected_direction_capacity,0.0,0.06701060904532939
queue_shadow,delay,34,ccrth_dest_weather_capacity_stress,0.0,0.06701060904532939
queue_shadow,delay,35,ccrth_dest_runway_effective_end_count,0.0,0.06701060904532939
queue_shadow,delay,36,ccrth_dest_runway_configuration_entropy,0.0,0.06701060904532939
queue_shadow,delay,37,ccrth_dest_historical_frontier_observed_fraction,0.0,0.06701060904532939
queue_shadow,delay,38,ccrth_dest_historical_frontier_support_days_log1p,0.0,0.06701060904532939
queue_shadow,delay,39,ccrth_origin_minimum_runway_length_kft,0.0,0.06701060904532939
queue_shadow,delay,40,ccrth_origin_ils_end_fraction,0.0,0.06701060904532939
hypergraph,delay,1,ccrth_route_max_queue_p90,2.5876457023928023,0.0798473692726507
hypergraph,delay,2,ccrth_route_max_weather_capacity_stress,1.3182455032702993,0.0798473692726507
hypergraph,delay,3,ccrth_dest_arrival_demand_120m_log1p,0.6186960740433844,0.0798473692726507
hypergraph,delay,4,ccrth_origin_capacity_scenario_constrained_probability,0.5568997513776015,0.0798473692726507
hypergraph,delay,5,ccrth_origin_arrival_demand_120m_log1p,0.527418068656244,0.0798473692726507
hypergraph,delay,6,ccrth_origin_queue_p90,0.4049758234899781,0.0798473692726507
hypergraph,delay,7,ccrth_dest_capacity_scenario_good_probability,0.38747788897887714,0.0798473692726507
hypergraph,delay,8,ccrth_dest_capacity_scenario_constrained_probability,0.29778005684729775,0.0798473692726507
hypergraph,delay,9,ccrth_origin_capacity_scenario_good_probability,0.2221080989937149,0.0798473692726507
hypergraph,delay,10,ccrth_origin_recovery_minutes,0.20140158799501645,0.0798473692726507
hypergraph,delay,11,ccrth_dest_capacity_scenario_marginal_probability,0.13134099403951102,0.0798473692726507
hypergraph,delay,12,ccrth_dest_movement_demand_120m_log1p,0.12152888349251623,0.0798473692726507
hypergraph,delay,13,ccrth_origin_movement_demand_120m_log1p,0.10155249664691608,0.0798473692726507
hypergraph,delay,14,ccrth_rotation_connected_probability,0.09120258123353547,0.0798473692726507
hypergraph,delay,15,ccrth_origin_departure_demand_120m_log1p,0.0671179548971661,0.0798473692726507
hypergraph,delay,16,ccrth_dest_arrival_demand_60m_log1p,0.057434948815257444,0.0798473692726507
hypergraph,delay,17,ccrth_dest_movement_demand_60m_log1p,0.05046218026967653,0.0798473692726507
hypergraph,delay,18,ccrth_dest_runway_feasible_end_fraction,0.04491370191905981,0.0798473692726507
hypergraph,delay,19,ccrth_origin_capacity_scenario_marginal_probability,0.03661455362267028,0.0798473692726507
hypergraph,delay,20,ccrth_origin_maximum_runway_length_kft,0.03653341809402292,0.0798473692726507
hypergraph,delay,21,ccrth_dest_queue_p90,0.034747402923546555,0.0798473692726507
hypergraph,delay,22,ccrth_dest_departure_demand_60m_log1p,0.029923566059417366,0.0798473692726507
hypergraph,delay,23,ccrth_dest_ils_end_fraction,0.022605998830567645,0.0798473692726507
hypergraph,delay,24,ccrth_dest_metro_movement_demand_60m_log1p,0.014614441996600575,0.0798473692726507
hypergraph,delay,25,ccrth_dest_expected_queue,0.011113975380659459,0.0798473692726507
hypergraph,delay,26,ccrth_dest_runway_effective_end_count,0.010381272998726153,0.0798473692726507
hypergraph,delay,27,ccrth_origin_marginal_overload,0.0,0.0798473692726507
hypergraph,delay,28,ccrth_origin_metro_utilization,0.0,0.0798473692726507
hypergraph,delay,29,ccrth_origin_metro_queue,0.0,0.0798473692726507
hypergraph,delay,30,ccrth_dest_historical_frontier_support_days_log1p,0.0,0.0798473692726507
hypergraph,delay,31,ccrth_dest_historical_frontier_observed_fraction,0.0,0.0798473692726507
hypergraph,delay,32,ccrth_dest_runway_configuration_entropy,0.0,0.0798473692726507
hypergraph,delay,33,ccrth_dest_weather_capacity_stress,0.0,0.0798473692726507
hypergraph,delay,34,ccrth_dest_expected_direction_capacity,0.0,0.0798473692726507
hypergraph,delay,35,ccrth_dest_expected_movement_capacity,0.0,0.0798473692726507
hypergraph,delay,36,ccrth_dest_overload_probability,0.0,0.0798473692726507
hypergraph,delay,37,ccrth_dest_expected_slack,0.0,0.0798473692726507
hypergraph,delay,38,ccrth_dest_recovery_minutes,0.0,0.0798473692726507
hypergraph,delay,39,ccrth_dest_shadow_price,0.0,0.0798473692726507
hypergraph,delay,40,ccrth_dest_marginal_overload,0.0,0.0798473692726507
raw_demand,cancellation,1,ccrth_dest_metro_movement_demand_60m_log1p,0.40589284394230246,0.011096607022093566
raw_demand,cancellation,2,ccrth_origin_metro_movement_demand_60m_log1p,0.12329695872038528,0.011096607022093566
raw_demand,cancellation,3,ccrth_origin_departure_demand_30m_log1p,0.1155282726802732,0.011096607022093566
raw_demand,cancellation,4,ccrth_origin_arrival_demand_120m_log1p,0.09460104649508454,0.011096607022093566
raw_demand,cancellation,5,ccrth_origin_maximum_runway_length_kft,0.07302683708962726,0.011096607022093566
raw_demand,cancellation,6,ccrth_dest_maximum_runway_length_kft,0.05933591302300223,0.011096607022093566
raw_demand,cancellation,7,ccrth_origin_ils_end_fraction,0.052146200904491014,0.011096607022093566
raw_demand,cancellation,8,ccrth_dest_orientation_family_count,0.05110359854522386,0.011096607022093566
raw_demand,cancellation,9,ccrth_dest_departure_demand_60m_log1p,0.04596487786725032,0.011096607022093566
raw_demand,cancellation,10,ccrth_dest_movement_demand_120m_log1p,0.021454608452586794,0.011096607022093566
raw_demand,cancellation,11,ccrth_dest_departure_demand_120m_log1p,0.019871960821562864,0.011096607022093566
raw_demand,cancellation,12,ccrth_dest_minimum_runway_length_kft,0.016644310473859242,0.011096607022093566
raw_demand,cancellation,13,ccrth_origin_movement_demand_30m_log1p,0.016208815554893303,0.011096607022093566
raw_demand,cancellation,14,ccrth_dest_eligible_runway_end_count,0.007990073534272762,0.011096607022093566
raw_demand,cancellation,15,ccrth_dest_physical_runway_count,0.006217360498184978,0.011096607022093566
raw_demand,cancellation,16,ccrth_origin_arrival_demand_30m_log1p,0.0003770236063565846,0.011096607022093566
raw_demand,cancellation,17,ccrth_dest_movement_demand_60m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,18,ccrth_dest_movement_demand_30m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,19,ccrth_dest_burstiness_15_to_60,0.0,0.011096607022093566
raw_demand,cancellation,20,ccrth_dest_minutes_until_next_same_direction_log1p,0.0,0.011096607022093566
raw_demand,cancellation,21,ccrth_origin_same_direction_loo_30m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,22,ccrth_origin_flow_imbalance_60m,0.0,0.011096607022093566
raw_demand,cancellation,23,ccrth_origin_minutes_until_next_same_direction_log1p,0.0,0.011096607022093566
raw_demand,cancellation,24,ccrth_origin_movement_loo_30m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,25,ccrth_origin_minutes_since_previous_same_direction_log1p,0.0,0.011096607022093566
raw_demand,cancellation,26,ccrth_dest_movement_loo_30m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,27,ccrth_dest_same_direction_loo_30m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,28,ccrth_origin_burstiness_15_to_60,0.0,0.011096607022093566
raw_demand,cancellation,29,ccrth_dest_flow_imbalance_60m,0.0,0.011096607022093566
raw_demand,cancellation,30,ccrth_origin_orientation_family_count,0.0,0.011096607022093566
raw_demand,cancellation,31,ccrth_origin_departure_demand_15m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,32,ccrth_origin_arrival_demand_15m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,33,ccrth_origin_arrival_demand_60m_log1p,0.0,0.011096607022093566
raw_demand,cancellation,34,ccrth_origin_eligible_runway_end_count,0.0,0.011096607022093566
raw_demand,cancellation,35,ccrth_origin_physical_runway_count,0.0,0.011096607022093566
raw_demand,cancellation,36,ccrth_dest_max_parallel_runways,0.0,0.011096607022093566
raw_demand,cancellation,37,ccrth_dest_ils_end_fraction,0.0,0.011096607022093566
raw_demand,cancellation,38,ccrth_origin_max_parallel_runways,0.0,0.011096607022093566
raw_demand,cancellation,39,ccrth_origin_minimum_runway_length_kft,0.0,0.011096607022093566
raw_demand,cancellation,40,ccrth_dest_movement_demand_15m_log1p,0.0,0.011096607022093566
normalized_capacity,cancellation,1,ccrth_dest_capacity_scenario_good_probability,0.5736817498410997,0.05182229956876869
normalized_capacity,cancellation,2,ccrth_dest_capacity_scenario_constrained_probability,0.43290048671500586,0.05182229956876869
normalized_capacity,cancellation,3,ccrth_dest_weather_capacity_stress,0.35786656647317383,0.05182229956876869
normalized_capacity,cancellation,4,ccrth_origin_capacity_scenario_marginal_probability,0.3452687615958972,0.05182229956876869
normalized_capacity,cancellation,5,ccrth_origin_capacity_scenario_constrained_probability,0.3308075938588175,0.05182229956876869
normalized_capacity,cancellation,6,ccrth_dest_metro_utilization,0.322615851441073,0.05182229956876869
normalized_capacity,cancellation,7,ccrth_dest_runway_feasible_end_fraction,0.265187678329609,0.05182229956876869
normalized_capacity,cancellation,8,ccrth_dest_capacity_scenario_marginal_probability,0.19524784701106918,0.05182229956876869
normalized_capacity,cancellation,9,ccrth_dest_metro_movement_demand_60m_log1p,0.19169665969080438,0.05182229956876869
normalized_capacity,cancellation,10,ccrth_origin_historical_frontier_support_days_log1p,0.18878951166955094,0.05182229956876869
normalized_capacity,cancellation,11,ccrth_origin_runway_feasible_end_fraction,0.1567720357274599,0.05182229956876869
normalized_capacity,cancellation,12,ccrth_origin_capacity_scenario_good_probability,0.152051484629654,0.05182229956876869
normalized_capacity,cancellation,13,ccrth_origin_flow_imbalance_60m,0.14249968491270631,0.05182229956876869
normalized_capacity,cancellation,14,ccrth_origin_maximum_runway_length_kft,0.13445707413679206,0.05182229956876869
normalized_capacity,cancellation,15,ccrth_origin_weather_capacity_stress,0.13338054357042722,0.05182229956876869
normalized_capacity,cancellation,16,ccrth_dest_runway_configuration_entropy,0.08980512639138996,0.05182229956876869
normalized_capacity,cancellation,17,ccrth_dest_movement_demand_60m_log1p,0.08461707935508768,0.05182229956876869
normalized_capacity,cancellation,18,ccrth_origin_metro_movement_demand_60m_log1p,0.08035355692330179,0.05182229956876869
normalized_capacity,cancellation,19,ccrth_origin_metro_queue,0.0758077599348499,0.05182229956876869
normalized_capacity,cancellation,20,ccrth_dest_movement_demand_120m_log1p,0.06252543324053036,0.05182229956876869
normalized_capacity,cancellation,21,ccrth_origin_minimum_runway_length_kft,0.05825737663664638,0.05182229956876869
normalized_capacity,cancellation,22,ccrth_origin_departure_demand_120m_log1p,0.04904175671027988,0.05182229956876869
normalized_capacity,cancellation,23,ccrth_origin_runway_effective_end_count,0.04861630500250686,0.05182229956876869
normalized_capacity,cancellation,24,ccrth_origin_arrival_demand_120m_log1p,0.048336703192685154,0.05182229956876869
normalized_capacity,cancellation,25,ccrth_origin_movement_demand_60m_log1p,0.048135738019271825,0.05182229956876869
normalized_capacity,cancellation,26,ccrth_dest_arrival_demand_15m_log1p,0.04686016353513585,0.05182229956876869
normalized_capacity,cancellation,27,ccrth_origin_expected_direction_capacity,0.04683106010793723,0.05182229956876869
normalized_capacity,cancellation,28,ccrth_origin_departure_demand_30m_log1p,0.04371249856182349,0.05182229956876869
normalized_capacity,cancellation,29,ccrth_origin_max_parallel_runways,0.03897659606218938,0.05182229956876869
normalized_capacity,cancellation,30,ccrth_dest_orientation_family_count,0.0370667347178703,0.05182229956876869
normalized_capacity,cancellation,31,ccrth_origin_ils_end_fraction,0.03579151347536331,0.05182229956876869
normalized_capacity,cancellation,32,ccrth_origin_eligible_runway_end_count,0.03549298457518997,0.05182229956876869
