airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
SAV,0.5539615140078176,-1.7842077403518175e-05,capacity_gated_simplex,0.3246699096383614,3.7824208898307177e-07,18659,origin
SDF,0.5238932054915464,-4.900254524442538e-05,capacity_gated_simplex,0.30458105602389923,-5.367254923838161e-06,22203,origin
SEA,0.53457219427188,-4.933340568391564e-06,capacity_gated_simplex,0.3308853317993958,-3.191431385329846e-06,145024,origin
SFO,0.49753263704055867,-9.991677070497751e-06,capacity_gated_simplex,0.30294938685533546,-4.096899621830463e-06,130201,origin
SJC,0.4334636499920948,-1.7776111366774039e-06,capacity_gated_simplex,0.2550944212614417,-1.6639353006553392e-07,45114,origin
SJU,0.5295693385308908,-2.427503471902348e-05,capacity_gated_simplex,0.3253975362876402,-1.0073518343978183e-05,34352,origin
SLC,0.4570626118868466,-2.1635855929180714e-05,capacity_gated_simplex,0.27379155936402283,1.0915543002809613e-07,95416,origin
SMF,0.4517724483727604,-7.672466489527796e-06,capacity_gated_simplex,0.26926952473662713,-3.6780559332094676e-06,56514,origin
SNA,0.49010974678428326,-3.2754385244637696e-05,capacity_gated_simplex,0.29006184543021063,-5.340526874175744e-06,42958,origin
STL,0.5195405836744724,-5.518812856042388e-06,capacity_gated_simplex,0.3141182690384895,5.695893111890005e-06,62551,origin
SYR,0.586108972411361,-0.00022570829461621145,capacity_gated_simplex,0.35032038074601485,-2.4714746675869037e-05,9782,origin
TPA,0.5267206183239546,-1.3714655570096213e-06,capacity_gated_simplex,0.32059097679665594,-4.758875195576273e-07,77003,origin
TUL,0.5255853750048453,-7.72609680189662e-05,capacity_gated_simplex,0.3079749500425878,-7.392524162486147e-06,18006,origin
TUS,0.44277231394762917,8.18762440735199e-07,capacity_gated_simplex,0.25568706012365855,3.5208707557243812e-06,19884,origin
TYS,0.5861110493999057,-6.597926305540458e-05,capacity_gated_simplex,0.3527854186317905,1.0322071739510275e-05,11396,origin
XNA,0.5665482293740394,-0.00013512645334023965,capacity_gated_simplex,0.33704349071330825,-1.122967332356506e-05,12083,origin
ABQ,0.4544043135367584,-0.00033483503922510094,task_factorized_global_q4,0.26599319958550266,-1.7177835722193002e-06,24880,origin
ALB,0.5403653621996052,-0.0010854700305967802,task_factorized_global_q4,0.3222053912442938,-9.306703651729142e-05,11939,origin
ANC,0.47128319529775486,-2.223573173415483e-05,task_factorized_global_q4,0.2777478011835959,-3.286575243122147e-05,12629,origin
