airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
ALB,0.5811464042851161,0.0,flare24,0.3582140838076225,0.0,11957,destination
ANC,0.57479964725753,0.0,flare24,0.3658429333321704,0.0,12607,destination
ATL,0.506962719560514,0.0,flare24,0.2963195955171673,0.0,266417,destination
AUS,0.5271700769018859,0.0,flare24,0.3264646571341548,0.0,82354,destination
BDL,0.5515006672522841,0.0,flare24,0.3398020408239734,0.0,22812,destination
BHM,0.5689734028201574,0.0,flare24,0.342521315986912,0.0,16658,destination
BNA,0.5298691225861593,0.0,flare24,0.3242934261296746,0.0,99683,destination
BOI,0.4699684544779709,0.0,flare24,0.2875270908038913,0.0,23137,destination
BOS,0.5807290187195872,0.0,flare24,0.35915593601335716,0.0,138635,destination
BUF,0.5963954458481848,0.0,flare24,0.36845308064795235,0.0,20385,destination
BUR,0.515069397801857,0.0,flare24,0.30793787195415134,0.0,29665,destination
BWI,0.5027254638741728,0.0,flare24,0.2970677770219226,0.0,90266,destination
CHS,0.5884804558809571,0.0,flare24,0.3535734729934514,0.0,24315,destination
CLE,0.5553454429041338,0.0,flare24,0.33647706759106694,0.0,39597,destination
CLT,0.5179552389501032,0.0,flare24,0.3043239093664403,0.0,159104,destination
CMH,0.5529935596539746,0.0,flare24,0.3395118161618601,0.0,43628,destination
COS,0.5761072790525062,0.0,flare24,0.35611829057031225,0.0,13045,destination
CVG,0.5803390416806339,0.0,flare24,0.3568584799497427,0.0,30871,destination
DAL,0.5221281971795058,0.0,flare24,0.3108555854478052,0.0,65689,destination
DAY,0.6179438049730781,0.0,flare24,0.3771275773765544,0.0,7586,destination
DCA,0.669621528202002,0.0,flare24,0.4041388492599023,0.0,126909,destination
DEN,0.5221896146150127,0.0,flare24,0.3247824723449413,0.0,242679,destination
DFW,0.636796772941271,0.0,flare24,0.3782948150189939,0.0,220823,destination
DSM,0.5890492988331497,0.0,flare24,0.35483549793865354,0.0,13628,destination
DTW,0.49690077829259227,0.0,flare24,0.2978114992437082,0.0,108627,destination
ELP,0.529735364114457,0.0,flare24,0.32491478712223826,0.0,16785,destination
EWR,0.621248126762027,0.0,flare24,0.3777312053799809,0.0,113538,destination
FAT,0.49081273745793014,0.0,flare24,0.29877414465647645,0.0,13202,destination
FLL,0.5609557438522941,0.0,flare24,0.3449747946374646,0.0,81681,destination
GEG,0.49768849762775386,0.0,flare24,0.30780966530263404,0.0,17909,destination
GRR,0.568177898610779,0.0,flare24,0.349045997170723,0.0,16756,destination
GSO,0.5976609210534214,0.0,flare24,0.3561571169993002,0.0,10168,destination
GSP,0.5924416800906251,0.0,flare24,0.36045675882462164,0.0,13717,destination
HNL,0.4564869654742539,0.0,flare24,0.26644236472531757,0.0,51167,destination
HOU,0.5039724681512731,0.0,flare24,0.30439114302847164,0.0,50457,destination
HPN,0.6076436876573355,0.0,flare24,0.3692022562119057,0.0,10331,destination
IAD,0.48187233350099634,0.0,flare24,0.2880408737346125,0.0,54557,destination
IAH,0.5203330119370526,0.0,flare24,0.3122657029680195,0.0,107870,destination
ICT,0.6000021856041579,0.0,flare24,0.3661457103267939,0.0,10762,destination
IND,0.5522512814340881,0.0,flare24,0.33511582724971467,0.0,45475,destination
JAX,0.5808739154999744,0.0,flare24,0.35565961125131496,0.0,27680,destination
JFK,0.5599852278215303,0.0,flare24,0.3353009424376667,0.0,100285,destination
KOA,0.4121712425303529,0.0,flare24,0.23407214655895406,0.0,15564,destination
LAS,0.5040642962055703,0.0,flare24,0.3093469190821509,0.0,173350,destination
LAX,0.4760577625631629,0.0,flare24,0.28674162317652774,0.0,179186,destination
LGA,0.6231113012916049,0.0,flare24,0.375988821382343,0.0,129044,destination
LGB,0.44575847712370686,0.0,flare24,0.2667235638897,0.0,16524,destination
LIH,0.40254781791248995,0.0,flare24,0.22508793845498548,0.0,15453,destination
