joint_log_loss,multiclass_brier,weight_baseline,weight_rotation_risk,weight_rotation_structural,weight_weather
0.4435537842762259,0.26588856138169986,0.0,0.15,0.05,0.8
0.44348265588842106,0.2658426584974734,0.0,0.1,0.1,0.8
0.4434158294002698,0.2657982274715906,0.0,0.05,0.15,0.8
0.4433533309271025,0.26575526830405133,0.0,0.0,0.2,0.8
0.44368535327046354,0.2659568536523684,0.0,0.15,0.0,0.85
0.4436116180196258,0.26590995711144955,0.0,0.1,0.05,0.85
0.4435422800610067,0.2658645324288743,0.0,0.05,0.1,0.85
0.44347734918984283,0.26582057960464284,0.0,0.0,0.15,0.85
0.4437453176063944,0.26597869155364007,0.0,0.1,0.0,0.9
0.44367337025808046,0.2659322732143726,0.0,0.05,0.05,0.9
0.4436059367251596,0.26588732673344867,0.0,0.0,0.1,0.9
0.44380934099085084,0.2660014498280852,0.0,0.05,0.0,0.95
0.44373930009368784,0.2659555096904691,0.0,0.0,0.05,0.95
0.44387773247979795,0.2660251284757038,0.0,0.0,0.0,1.0
0.4433428611630608,0.2658503980116204,0.05,0.95,0.0,0.0
0.4432394375554664,0.2657936598239972,0.05,0.9,0.05,0.0
0.4431404520743724,0.26573839349471773,0.05,0.85,0.1,0.0
0.44304573323389995,0.2656845990237818,0.05,0.8,0.15,0.0
0.44295515367972127,0.2656322764111895,0.05,0.75,0.2,0.0
0.44286861829884766,0.2655814256569408,0.05,0.7,0.25,0.0
0.4427860568008817,0.2655320467610357,0.05,0.65,0.3,0.0
0.44270741889094634,0.26548413972347423,0.05,0.6,0.35,0.0
