accuracy,accuracy_delta_vs_meta,airport,joint_log_loss,joint_log_loss_delta_vs_meta,multiclass_brier,multiclass_brier_delta_vs_meta,n,role,selected_method
0.7487609730815328,-0.00032392860613528196,CVG,0.5786029556217667,0.0009787800817850911,0.3564425374238994,-2.4900143010653242e-05,30871,destination,boundary_gated_ensemble
0.7842865624381555,0.00033491147680730915,DAL,0.5211030856886596,0.001611569341827046,0.3109791533567642,0.00036856542196395115,65689,destination,boundary_gated_ensemble
0.7256788821513314,0.001186395992617939,DAY,0.6171483408358007,0.003970580266970947,0.3763368430090227,-9.287540639058012e-06,7586,destination,boundary_gated_ensemble
0.7071129707112971,0.0012449865651766867,DCA,0.6653778089207905,0.005541145091614408,0.40214215032412404,-0.00019729424168002385,126909,destination,boundary_gated_ensemble
0.7708784031580812,0.0005398077295521997,DEN,0.5211180196787202,-0.0006685583789222127,0.32398523359216114,-0.0007835337385176944,242679,destination,boundary_gated_ensemble
0.734792118574605,0.00012679838603768534,DFW,0.6356402135217523,0.002870300518953872,0.3782373438196104,0.0002636836462704406,220823,destination,boundary_gated_ensemble
0.7513941884355738,0.00014675667742880538,DSM,0.5880155521283482,0.0029291210633582976,0.35446688130411697,0.00022066483064547837,13628,destination,boundary_gated_ensemble
0.8004087381590212,0.00034982094691005106,DTW,0.4962777245014554,0.000582244503308571,0.2976515548312083,2.810852290124899e-05,108627,destination,boundary_gated_ensemble
0.7724754244861484,0.0005361930294905948,ELP,0.529949849563733,0.001300789935272273,0.3253390109649341,0.00047316964838439723,16785,destination,boundary_gated_ensemble
0.7250700206098398,-0.00029945921189389324,EWR,0.6193543041119436,0.004678699315213808,0.3771085267343243,0.0005628590152245705,113538,destination,boundary_gated_ensemble
0.7991213452507195,-0.0003029843963036072,FAT,0.49086621290451127,0.0007194003161365425,0.29877345703730085,-5.533569978677377e-05,13202,destination,boundary_gated_ensemble
0.7560632215570329,-7.345649539058918e-05,FLL,0.5601206997697193,0.0009468358052467929,0.3447034749990597,-2.3549224718366624e-05,81681,destination,boundary_gated_ensemble
0.7926182366407951,0.0005583784689262572,GEG,0.4970808665477377,-0.00025395799317157186,0.3076164417210388,-0.0001715417334549607,17909,destination,boundary_gated_ensemble
0.7547744091668656,-0.0008355216042015279,GRR,0.5665981944213431,0.0016808338697452685,0.3484884974877778,0.00011293588518557218,16756,destination,boundary_gated_ensemble
0.7482297403619197,0.000295043273013329,GSO,0.5963110147827756,0.004864369959955428,0.35587895917194867,0.0007754803375218389,10168,destination,boundary_gated_ensemble
